SampleRate,BitRate,Duration,SamplesPerSymbol,ActualBitrate,ActualBitrate
903.0,450.0,120000.0,2.006666666666667,8.333333333333334,1107.419712070875
815.0,500.0,120000.0,1.63,8.333333333333334,1226.993865030675
815.0,500.0,120000.0,1.63,8.333333333333334,1226.993865030675
815.0,500.0,120000.0,1.63,8.333333333333334,1226.993865030675
4413.0,100.0,130000.0,44.13,7.692307692307692,226.6032177656923
4423.0,100.0,130000.0,44.23,7.692307692307692,226.09088853719197
4413.0,100.0,130000.0,44.13,7.692307692307692,226.6032177656923
2941.0,150.0,130000.0,19.606666666666666,7.692307692307692,340.02040122407345
2950.0,150.0,130000.0,19.666666666666668,7.692307692307692,338.98305084745766
2940.0,150.0,130000.0,19.6,7.692307692307692,340.13605442176873
2207.0,200.0,130000.0,11.035,7.692307692307692,453.10376076121435
2207.0,200.0,130000.0,11.035,7.692307692307692,453.10376076121435
2207.0,200.0,130000.0,11.035,7.692307692307692,453.10376076121435
1776.0,250.0,130000.0,7.104,7.692307692307692,563.063063063063
1765.0,250.0,130000.0,7.06,7.692307692307692,566.57223796034
1766.0,250.0,130000.0,7.064,7.692307692307692,566.2514156285391
1471.0,300.0,130000.0,4.903333333333333,7.692307692307692,679.8096532970769
1480.0,300.0,130000.0,4.933333333333334,7.692307692307692,675.6756756756757
1470.0,300.0,130000.0,4.9,7.692307692307692,680.2721088435375
1260.0,350.0,130000.0,3.6,7.692307692307692,793.6507936507937
1260.0,350.0,130000.0,3.6,7.692307692307692,793.6507936507937
1269.0,350.0,130000.0,3.625714285714286,7.692307692307692,788.0220646178093
1104.0,400.0,130000.0,2.76,7.692307692307692,905.7971014492754
1104.0,400.0,130000.0,2.76,7.692307692307692,905.7971014492754
1103.0,400.0,130000.0,2.7575,7.692307692307692,906.6183136899365
978.0,450.0,130000.0,2.1733333333333333,7.692307692307692,1022.4948875255625
979.0,450.0,130000.0,2.1755555555555555,7.692307692307692,1021.4504596527067
979.0,450.0,130000.0,2.1755555555555555,7.692307692307692,1021.4504596527067
884.0,500.0,130000.0,1.768,7.692307692307692,1131.2217194570137
884.0,500.0,130000.0,1.768,7.692307692307692,1131.2217194570137
884.0,500.0,130000.0,1.768,7.692307692307692,1131.2217194570137
4762.0,100.0,140000.0,47.62,7.142857142857143,209.99580008399832
4755.0,100.0,140000.0,47.55,7.142857142857143,210.30494216614093
4754.0,100.0,140000.0,47.54,7.142857142857143,210.34917963819944
3178.0,150.0,140000.0,21.186666666666667,7.142857142857143,314.66331025802396
